[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2013-10-08 16:51:41] EDIT jsondatatest/controllers/default.py: -4
[2013-10-08 16:52:13] EDIT jsondatatest/views/default/index.html: -30
[2013-10-08 16:58:42] EDIT jsondatatest/controllers/default.py: 1
[2013-10-08 17:03:52] EDIT jsondatatest/controllers/default.py: 2
[2013-10-08 17:04:09] EDIT jsondatatest/views/default/index.html: 0
[2013-10-08 17:05:29] EDIT jsondatatest/controllers/default.py: 0
[2013-10-08 17:08:01] EDIT jsondatatest/controllers/default.py: -1
[2013-10-08 17:08:12] EDIT jsondatatest/views/default/index.html: 0
[2013-10-08 17:08:33] EDIT jsondatatest/controllers/default.py: 0
[2013-10-08 17:13:50] EDIT jsondatatest/controllers/default.py: 1
[2013-10-08 17:14:03] EDIT jsondatatest/views/default/index.html: 0
[2013-10-08 17:14:48] EDIT jsondatatest/controllers/default.py: 0
[2013-10-08 17:14:50] EDIT jsondatatest/views/default/index.html: 0
[2013-10-08 17:16:34] EDIT jsondatatest/views/default/index.html: 1
[2013-10-08 17:17:03] EDIT jsondatatest/controllers/default.py: 1
[2013-10-08 17:17:10] EDIT jsondatatest/views/default/index.html: 0
[2013-10-08 17:20:10] EDIT jsondatatest/views/default/index.html: -1
[2013-10-08 17:23:02] EDIT jsondatatest/controllers/default.py: 0
[2013-10-08 17:23:19] EDIT jsondatatest/views/default/index.html: -1
[2013-10-08 17:23:34] EDIT jsondatatest/views/default/index.html: 0
[2013-10-08 17:27:05] EDIT jsondatatest/controllers/default.py: 0
[2013-10-11 22:38:55] EDIT jsondatatest/controllers/default.py: 0
[2013-10-11 22:39:17] EDIT jsondatatest/controllers/default.py: -14
[2013-10-14 19:59:17] CREATE default/showmap.html: 0
[2013-10-14 19:59:34] EDIT jsondatatest/controllers/default.py: 2
[2013-10-14 20:00:07] EDIT jsondatatest/views/default/showmap.html: 29
[2013-10-14 20:01:04] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 20:21:50] EDIT jsondatatest/views/default/showmap.html: 2
[2013-10-14 20:22:22] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 20:22:32] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 20:22:32] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 20:22:32] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 20:22:55] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 21:24:44] EDIT jsondatatest/views/default/showmap.html: 5
[2013-10-14 21:25:17] EDIT jsondatatest/views/default/showmap.html: 1
[2013-10-14 21:25:38] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 21:25:50] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 21:26:00] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 21:28:08] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 21:35:56] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-14 21:55:50] EDIT jsondatatest/views/default/index.html: 7
[2013-10-14 21:56:16] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 21:56:57] EDIT jsondatatest/controllers/default.py: 0
[2013-10-14 21:58:38] EDIT jsondatatest/views/default/index.html: 5
[2013-10-14 22:04:30] EDIT jsondatatest/views/default/index.html: 8
[2013-10-14 22:07:23] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:09:51] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:11:35] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:15:50] EDIT jsondatatest/views/default/index.html: -1
[2013-10-14 22:18:30] EDIT jsondatatest/views/default/index.html: -1
[2013-10-14 22:18:45] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:18:45] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:18:45] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:18:45] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:18:45] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:18:46] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:24:22] EDIT jsondatatest/views/default/index.html: 0
[2013-10-14 22:24:25] EDIT jsondatatest/controllers/default.py: 0
[2013-10-14 22:24:30] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-15 11:50:06] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 11:58:09] EDIT jsondatatest/views/default/index.html: 2
[2013-10-15 11:58:26] EDIT jsondatatest/views/default/index.html: 1
[2013-10-15 12:00:03] EDIT jsondatatest/views/default/index.html: -6
[2013-10-15 12:01:04] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:01:13] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:07:38] EDIT jsondatatest/views/default/index.html: -2
[2013-10-15 12:13:08] EDIT jsondatatest/views/default/index.html: 5
[2013-10-15 12:13:29] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:15:27] EDIT jsondatatest/views/default/index.html: -3
[2013-10-15 12:15:50] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:16:03] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:17:37] EDIT jsondatatest/views/default/index.html: 6
[2013-10-15 12:19:22] EDIT jsondatatest/views/default/index.html: -5
[2013-10-15 12:19:30] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:19:39] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:23:34] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:24:43] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 12:26:14] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:41:28] EDIT jsondatatest/controllers/default.py: 2
[2013-10-15 13:41:43] CREATE default/getjson.html: 0
[2013-10-15 13:44:04] EDIT jsondatatest/views/default/getjson.html: 18
[2013-10-15 13:44:36] EDIT jsondatatest/views/default/getjson.html: -1
[2013-10-15 13:45:07] EDIT jsondatatest/views/default/getjson.html: 0
[2013-10-15 13:47:09] EDIT jsondatatest/views/default/getjson.html: -2
[2013-10-15 13:48:12] EDIT jsondatatest/views/default/getjson.html: 0
[2013-10-15 13:48:24] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:48:41] EDIT jsondatatest/views/default/index.html: -1
[2013-10-15 13:48:56] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:50:34] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:52:19] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:52:41] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:53:07] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:55:41] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:55:53] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:56:18] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 13:56:24] EDIT jsondatatest/views/default/getjson.html: 0
[2013-10-15 14:05:14] CREATE default/testdata.json: 0
[2013-10-15 14:05:48] EDIT jsondatatest/views/default/testdata.json: 1
[2013-10-15 14:06:23] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 14:06:44] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 14:07:45] EDIT jsondatatest/views/default/testdata.json: -1
[2013-10-15 14:07:54] EDIT jsondatatest/views/default/testdata.json: 0
[2013-10-15 14:09:02] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 14:09:22] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 14:09:35] EDIT jsondatatest/views/default/index.html: 0
[2013-10-15 17:23:39] EDIT jsondatatest/views/default/index.html: 0
[2013-10-16 21:22:20] CREATE default/map.map: 0
[2013-10-16 21:23:06] EDIT jsondatatest/controllers/default.py: 2
[2013-10-16 21:24:28] EDIT jsondatatest/controllers/default.py: 7
[2013-10-16 21:24:47] DELETE jsondatatest/views/default/map.map: -64
[2013-10-16 21:24:57] CREATE default/map.html: 0
[2013-10-16 21:26:52] EDIT jsondatatest/controllers/default.py: 0
[2013-10-16 21:27:00] EDIT jsondatatest/controllers/default.py: 0
[2013-10-16 21:28:38] EDIT jsondatatest/views/default/map.html: 50
[2013-10-16 21:35:17] CREATE db_map.py: 0
[2013-10-16 21:41:24] EDIT jsondatatest/models/db_map.py: 5
[2013-10-16 21:44:20] EDIT jsondatatest/controllers/default.py: -6
[2013-10-16 21:44:39] EDIT jsondatatest/controllers/default.py: 1
[2013-10-16 21:46:23] EDIT jsondatatest/views/default/map.html: -50
[2013-10-16 21:50:38] EDIT jsondatatest/views/default/map.html: 40
[2013-10-16 21:50:51] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 21:51:25] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 21:51:28] EDIT jsondatatest/views/default/showmap.html: 0
[2013-10-16 21:51:32] EDIT jsondatatest/controllers/default.py: 0
[2013-10-16 22:01:26] EDIT jsondatatest/views/default/map.html: 5
[2013-10-16 22:04:19] EDIT jsondatatest/views/default/map.html: -5
[2013-10-16 22:04:44] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:05:19] EDIT jsondatatest/views/default/map.html: 5
[2013-10-16 22:05:34] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:05:39] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:06:17] EDIT jsondatatest/views/default/map.html: -5
[2013-10-16 22:07:24] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:08:12] EDIT jsondatatest/controllers/default.py: 3
[2013-10-16 22:08:27] CREATE default/maptest.html: 0
[2013-10-16 22:08:57] EDIT jsondatatest/views/default/maptest.html: 0
[2013-10-16 22:10:26] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:10:54] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:11:07] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:11:20] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:11:59] EDIT jsondatatest/views/default/map.html: 5
[2013-10-16 22:12:08] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:22:00] EDIT jsondatatest/views/default/map.html: 0
[2013-10-16 22:22:03] EDIT jsondatatest/views/default/maptest.html: 0
[2013-10-17 11:27:40] EDIT jsondatatest/models/db_map.py: 1
[2013-10-17 11:30:47] EDIT jsondatatest/models/db_map.py: 6
[2013-10-17 11:36:54] EDIT jsondatatest/models/db_map.py: 0
[2013-10-17 11:44:59] EDIT jsondatatest/models/db_map.py: -2
[2013-10-17 11:58:56] EDIT jsondatatest/views/default/map.html: -4
[2013-10-17 11:59:37] EDIT jsondatatest/views/default/map.html: -8
[2013-10-17 12:00:08] EDIT jsondatatest/views/default/map.html: 8
[2013-10-17 12:00:08] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:00:44] EDIT jsondatatest/controllers/default.py: -1
[2013-10-17 12:00:55] EDIT jsondatatest/controllers/default.py: 1
[2013-10-17 12:05:52] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:06:31] EDIT jsondatatest/controllers/default.py: -1
[2013-10-17 12:07:36] EDIT jsondatatest/views/default/maptest.html: 26
[2013-10-17 12:07:57] EDIT jsondatatest/views/default/maptest.html: 0
[2013-10-17 12:08:35] EDIT jsondatatest/views/default/maptest.html: 4
[2013-10-17 12:09:15] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:09:49] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:11:58] EDIT jsondatatest/views/default/map.html: -1
[2013-10-17 12:13:31] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:21:41] EDIT jsondatatest/views/default/map.html: 7
[2013-10-17 12:24:20] EDIT jsondatatest/views/default/maptest.html: -29
[2013-10-17 12:24:33] EDIT jsondatatest/controllers/default.py: 1
[2013-10-17 12:31:15] EDIT jsondatatest/views/default/maptest.html: 61
[2013-10-17 12:32:40] EDIT jsondatatest/views/default/maptest.html: 0
[2013-10-17 12:33:08] EDIT jsondatatest/views/default/maptest.html: 0
[2013-10-17 12:35:45] EDIT jsondatatest/controllers/default.py: 1
[2013-10-17 12:36:09] EDIT jsondatatest/controllers/default.py: 0
[2013-10-17 12:36:50] EDIT jsondatatest/views/default/maptest.html: -5
[2013-10-17 12:41:11] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:44:05] EDIT jsondatatest/controllers/default.py: 0
[2013-10-17 12:44:21] EDIT jsondatatest/models/db_map.py: -5
[2013-10-17 12:45:50] EDIT jsondatatest/models/db_map.py: 1
[2013-10-17 12:49:33] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:49:54] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:50:58] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:51:09] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 12:52:12] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 13:44:56] EDIT jsondatatest/views/default/map.html: 0
[2013-10-17 13:45:15] EDIT jsondatatest/views/default/map.html: -1
